Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
1908-09-17,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,2.0,1.0,1.0,1.0,1.0,0.0,0.0
1912-07-12,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1916-10-01,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),19.0,0.0,19.0,19.0,0.0,19.0,0.0
1921-04-06,,"Point Cook, Australia",Military - Royal Australian Air Force,,,  	 Avro 504,2.0,0.0,0.0,2.0,0.0,0.0,0.0
1921-08-24,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),46.0,0.0,46.0,46.0,0.0,46.0,1.0
1923-12-23,02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),52.0,,,52.0,,,0.0
1925-09-03,05:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43.0,,,14.0,,,0.0
1929-04-21,11:45,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6.0,3.0,3.0,6.0,3.0,3.0,0.0
1930-10-05,02:05,"Near Beauvais, France",Military - British Air Ministry,,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,54.0,,,48.0,,,0.0
1936-01-14,," Tres Esquinas, Colombia",Military - Fuerza Aerea Colombiana,,,Junkers JU-52,16.0,13.0,3.0,13.0,10.0,3.0,0.0
1938-02-02,20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,,Training,Consolidated PBY-2 / Consolidated PBY-2,14.0,0.0,14.0,11.0,0.0,11.0,0.0
1939-05-08,12:00,"Guayaquil, Ecuador",Military - Ecuadorian Air Force,,,Curtiss-Wright C-14 Osprey,1.0,0.0,1.0,1.0,0.0,1.0,22.0
1940-08-13,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,,Melbourne - Canberra,Lockheed Hudson A16-97,10.0,6.0,4.0,10.0,6.0,4.0,0.0
1941-08-10,20:35,"Arran, Scotland",Military -Royal Air Force,,,Consolidated LB-30A Liberator,22.0,17.0,5.0,22.0,17.0,5.0,0.0
1942-01-20,," Kupang, Indonesia",Military - Royal Australian Air Force,,,Lockheed Hudson,11.0,7.0,4.0,11.0,,4.0,0.0
1942-03-03,,"Off Broome, Australia",Military - U.S. Army Air Force,, Broome - Kupang,Consolidated B-24 Liberator,21.0,19.0,2.0,20.0,18.0,2.0,0.0
1942-07-01,12:00,"Near Premier, West Virginia",Military - U.S. Army Air Forces,,Battle Creek - Cincinnati - Florence,Douglas C-49E,21.0,19.0,2.0,21.0,19.0,2.0,0.0
1942-07-07,,"Off Broken Head, Australia",Military - Royal Australian Air Force,,Horn Island - Amberley,Lockheed Hudson,10.0,0.0,10.0,10.0,0.0,10.0,0.0
1942-07-20,,"Llanfair, England",Military - Royal Air Force,,Sydenham - Hendon,Lockheed Hudson,13.0,10.0,3.0,13.0,10.0,3.0,0.0
1942-08-23,13:42,"Near Dunbeath, Scotland",Military - Royal Air Force,,Oban - Invergordon - Keflavik,Short Sunderland,15.0,11.0,4.0,14.0,10.0,4.0,0.0
1942-10-01,09:30,"Near Coamo, Puerto Rico",Military - U.S. Army Air Forces,,Juana Díaz-Losey Field - San Juan,Douglas C-39-DO  (DC-2),22.0,17.0,5.0,22.0,17.0,5.0,0.0
